#;Mise en base des profils de sonde pour Sete 2025
#;Geosciences Montpellier, Place eugene Bataillon, 34095 Montpellier
#;Mesures realisees avec Sonde SEA BIRD SBE 19+
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;TURBIDITE;PAR;SALINITE;PROFONDEUR
22;06-05-2026;09:22:28;17.2375;0.7376;1.9173;733.52;36.1625;0.25
22;06-05-2026;09:22:38;17.2896;0.7033;1.5607;588.26;36.1882;0.5
22;06-05-2026;09:23:44;17.3709;0.5533;1.0462;545.55;36.2431;0.75
22;06-05-2026;09:23:42;17.3662;0.5748;1.0943;497.56;36.2382;1.0
22;06-05-2026;09:23:43;17.3662;0.5816;1.1017;459.25;36.2376;1.25
22;06-05-2026;09:23:44;17.367;0.5934;1.1043;405.47;36.2384;1.5
22;06-05-2026;09:23:44;17.3682;0.6115;1.1059;380.6;36.2408;1.75
22;06-05-2026;09:23:44;17.3696;0.6289;1.1052;360.49;36.2463;2.0
22;06-05-2026;09:23:45;17.3717;0.6531;1.1037;323.47;36.2601;2.25
22;06-05-2026;09:23:46;17.3752;0.693;1.1031;289.19;36.2887;2.5
22;06-05-2026;09:23:46;17.3819;0.7496;1.1014;255.21;36.3449;2.75
22;06-05-2026;09:23:46;17.3926;0.7989;1.0899;233.26;36.4388;3.0
22;06-05-2026;09:23:47;17.4079;0.8616;1.0676;226.1;36.571;3.25
22;06-05-2026;09:23:47;17.4275;0.9105;1.043;218.49;36.7279;3.5
22;06-05-2026;09:23:48;17.4458;0.9353;1.0104;203.02;36.8488;3.75
22;06-05-2026;09:23:48;17.4582;0.9381;0.9894;184.68;36.9518;4.0
22;06-05-2026;09:23:49;17.4678;0.931;0.9751;171.63;37.0487;4.25
22;06-05-2026;09:23:49;17.4746;0.9152;0.9606;161.14;37.1297;4.5
22;06-05-2026;09:23:49;17.4778;0.8892;0.9359;152.18;37.1842;4.75
22;06-05-2026;09:23:50;17.4766;0.8277;0.8609;142.91;37.2083;5.0
22;06-05-2026;09:23:51;17.4652;0.7869;0.8107;134.7;37.2215;5.25
22;06-05-2026;09:23:51;17.4464;0.7875;0.815;125.88;37.2635;5.5
22;06-05-2026;09:23:52;17.4286;0.786;0.8177;117.44;37.2971;5.75
22;06-05-2026;09:23:52;17.4135;0.7815;0.8231;109.82;37.3217;6.0
22;06-05-2026;09:23:53;17.4028;0.7689;0.8115;104.18;37.3362;6.25
22;06-05-2026;09:23:53;17.3948;0.7472;0.7655;98.74;37.3469;6.5
22;06-05-2026;09:23:54;17.3889;0.7401;0.7381;96.426;37.3542;6.75
22;06-05-2026;09:23:54;17.3851;0.7492;0.7397;94.346;37.3585;7.0
22;06-05-2026;09:23:55;17.3822;0.7505;0.7449;90.874;37.3621;7.25
22;06-05-2026;09:23:55;17.3794;0.7485;0.7521;87.635;37.3658;7.5
22;06-05-2026;09:23:56;17.3769;0.7455;0.7511;83.938;37.3694;7.75
22;06-05-2026;09:23:56;17.3751;0.7492;0.7204;80.055;37.3721;8.0
22;06-05-2026;09:23:57;17.3742;0.7547;0.6881;76.423;37.3735;8.25
22;06-05-2026;09:23:57;17.3736;0.7551;0.6805;73.343;37.3748;8.5
22;06-05-2026;09:23:58;17.3732;0.7532;0.6757;70.378;37.376;8.75
22;06-05-2026;09:23:58;17.3729;0.7421;0.6596;66.787;37.3771;9.0
22;06-05-2026;09:23:59;17.3725;0.7295;0.6357;63.03;37.3781;9.25
22;06-05-2026;09:23:59;17.3719;0.7347;0.6245;60.285;37.3794;9.5
22;06-05-2026;09:24:00;17.3711;0.7465;0.6128;58.023;37.3806;9.75
22;06-05-2026;09:24:00;17.3703;0.7599;0.6076;56.161;37.3819;10.0
22;06-05-2026;09:24:01;17.3694;0.7776;0.6164;54.166;37.383;10.25
22;06-05-2026;09:24:01;17.3685;0.7852;0.6418;51.587;37.3839;10.5
22;06-05-2026;09:24:02;17.367;0.7618;0.6761;48.633;37.3849;10.75
22;06-05-2026;09:24:02;17.3644;0.7504;0.6647;46.339;37.3865;11.0
22;06-05-2026;09:24:03;17.3612;0.7487;0.6276;44.437;37.3884;11.25
22;06-05-2026;09:24:03;17.3585;0.7493;0.6031;42.416;37.39;11.5
22;06-05-2026;09:24:04;17.3567;0.7532;0.5818;40.319;37.3913;11.75
22;06-05-2026;09:24:04;17.3553;0.7552;0.5669;38.584;37.3923;12.0
22;06-05-2026;09:24:05;17.3535;0.7425;0.5714;37.303;37.3934;12.25
22;06-05-2026;09:24:06;17.3507;0.734;0.5789;36.127;37.3947;12.5
22;06-05-2026;09:24:06;17.3472;0.7369;0.5861;34.935;37.3964;12.75
22;06-05-2026;09:24:07;17.3419;0.7419;0.6076;33.774;37.3987;13.0
22;06-05-2026;09:24:07;17.3324;0.7438;0.6395;32.706;37.4027;13.25
22;06-05-2026;09:24:08;17.319;0.7333;0.6351;31.684;37.4081;13.5
22;06-05-2026;09:24:08;17.3023;0.7039;0.5909;30.787;37.415;13.75
22;06-05-2026;09:24:09;17.2852;0.6738;0.5438;30.021;37.4228;14.0
22;06-05-2026;09:24:09;17.2725;0.6571;0.5212;29.337;37.43;14.25
22;06-05-2026;09:24:10;17.2645;0.6488;0.5095;28.634;37.4348;14.5
22;06-05-2026;09:24:10;17.2596;0.6488;0.5033;27.868;37.438;14.75
22;06-05-2026;09:24:11;17.2553;0.6383;0.4849;27.145;37.4417;15.0
22;06-05-2026;09:24:11;17.2509;0.599;0.438;26.505;37.446;15.25
22;06-05-2026;09:24:12;17.2476;0.5715;0.4125;25.948;37.4508;15.5
22;06-05-2026;09:24:12;17.2449;0.5624;0.4148;25.301;37.4578;15.75
22;06-05-2026;09:24:13;17.2428;0.5569;0.4188;24.681;37.4653;16.0
22;06-05-2026;09:24:13;17.2418;0.5657;0.4309;24.164;37.4702;16.25
22;06-05-2026;09:24:14;17.242;0.5775;0.4417;23.671;37.4736;16.5
22;06-05-2026;09:24:14;17.2425;0.583;0.4478;23.098;37.4788;16.75
22;06-05-2026;09:24:15;17.2424;0.58;0.4604;22.523;37.4829;17.0
22;06-05-2026;09:24:16;17.2423;0.5623;0.4954;21.991;37.4845;17.25
22;06-05-2026;09:24:17;17.2419;0.5567;0.5023;21.389;37.4855;17.5
22;06-05-2026;09:24:17;17.2411;0.5592;0.4957;20.731;37.488;17.75
22;06-05-2026;09:24:17;17.2404;0.5679;0.4882;20.102;37.4903;18.0
22;06-05-2026;09:24:18;17.2398;0.5809;0.4781;19.535;37.4921;18.25
22;06-05-2026;09:24:19;17.2398;0.5871;0.4712;19.051;37.4939;18.5
22;06-05-2026;09:24:19;17.2401;0.5932;0.4688;18.605;37.4961;18.75
22;06-05-2026;09:24:20;17.2404;0.6074;0.4715;18.192;37.498;19.0
22;06-05-2026;09:24:20;17.2406;0.6118;0.4706;17.786;37.499;19.25
22;06-05-2026;09:24:21;17.2408;0.5944;0.4614;17.33;37.5003;19.5
22;06-05-2026;09:24:21;17.2411;0.5751;0.4555;16.872;37.5015;19.75
22;06-05-2026;09:24:22;17.2414;0.5645;0.4676;16.459;37.5027;20.0
22;06-05-2026;09:24:23;17.2418;0.5711;0.4766;16.057;37.5044;20.25
22;06-05-2026;09:24:23;17.2426;0.5882;0.4756;15.632;37.507;20.5
22;06-05-2026;09:24:23;17.2434;0.5973;0.4735;15.219;37.5106;20.75
22;06-05-2026;09:24:24;17.2446;0.595;0.4713;14.839;37.5158;21.0
22;06-05-2026;09:24:24;17.2464;0.589;0.4715;14.49;37.522;21.25
22;06-05-2026;09:24:25;17.2483;0.5882;0.4809;14.155;37.5302;21.5
22;06-05-2026;09:24:26;17.25;0.5901;0.4985;13.785;37.5375;21.75
22;06-05-2026;09:24:26;17.2507;0.599;0.5096;13.419;37.5418;22.0
22;06-05-2026;09:24:27;17.2509;0.5989;0.5113;13.03;37.5464;22.25
22;06-05-2026;09:24:27;17.2511;0.5893;0.5109;12.663;37.5513;22.5
22;06-05-2026;09:24:28;17.2511;0.5842;0.5141;12.313;37.554;22.75
22;06-05-2026;09:24:28;17.2508;0.5828;0.5239;11.967;37.5561;23.0
22;06-05-2026;09:24:29;17.2504;0.5832;0.5344;11.638;37.558;23.25
22;06-05-2026;09:24:29;17.2499;0.5819;0.5343;11.363;37.5596;23.5
22;06-05-2026;09:24:30;17.2494;0.5864;0.5329;11.108;37.5606;23.75
22;06-05-2026;09:24:31;17.2486;0.6074;0.5575;10.8;37.563;24.0
22;06-05-2026;09:24:31;17.2474;0.6148;0.5664;10.481;37.5656;24.25
22;06-05-2026;09:24:32;17.2456;0.6158;0.5694;10.155;37.5687;24.5
22;06-05-2026;09:24:32;17.2427;0.6133;0.5756;9.8377;37.5731;24.75
22;06-05-2026;09:24:33;17.2375;0.6042;0.5923;9.5417;37.5801;25.0
22;06-05-2026;09:24:33;17.2284;0.5953;0.6067;9.2664;37.5904;25.25
22;06-05-2026;09:24:34;17.2157;0.5921;0.6059;8.9864;37.603;25.5
22;06-05-2026;09:24:34;17.2032;0.596;0.6059;8.7099;37.6139;25.75
22;06-05-2026;09:24:35;17.1933;0.613;0.6196;8.4309;37.6216;26.0
22;06-05-2026;09:24:35;17.1847;0.6259;0.6336;8.1523;37.6279;26.25
22;06-05-2026;09:24:35;17.1773;0.6241;0.6459;7.8941;37.6337;26.5
22;06-05-2026;09:24:36;17.1707;0.6076;0.6642;7.6473;37.6415;26.75
22;06-05-2026;09:24:37;17.1601;0.5932;0.6797;7.4027;37.6509;27.0
22;06-05-2026;09:24:38;17.1388;0.5899;0.6854;7.1296;37.6752;27.25
22;06-05-2026;09:24:38;17.107;0.5863;0.6934;6.8748;37.7119;27.5
22;06-05-2026;09:24:38;17.0672;0.5836;0.7066;6.6383;37.7507;27.75
22;06-05-2026;09:24:39;17.0209;0.584;0.7366;6.4038;37.7815;28.0
22;06-05-2026;09:24:39;16.973;0.5875;0.7972;6.1701;37.8039;28.25
22;06-05-2026;09:24:40;16.9327;0.5887;0.8848;5.9432;37.819;28.5
22;06-05-2026;09:24:41;16.9092;0.5872;0.9941;5.7071;37.8296;28.75
22;06-05-2026;09:24:41;16.8967;0.588;1.0657;5.4365;37.8339;29.0
22;06-05-2026;09:24:42;16.8848;0.5903;1.1572;5.142;37.8332;29.25
22;06-05-2026;09:24:42;16.875;0.5955;1.3394;4.8283;37.833;29.5
22;06-05-2026;09:24:45;16.8806;0.6332;1.654;4.4795;37.8331;29.75
