#;Mise en base des profils de sonde pour Sete 2025
#;Geosciences Montpellier, Place eugene Bataillon, 34095 Montpellier
#;Mesures realisees avec Sonde SEA BIRD SBE 19+
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;TURBIDITE;PAR;SALINITE;PROFONDEUR
22;09-02-2026;10:20:05;11.3123;0.6696;2.4651;83.112;31.889;0.25
22;09-02-2026;10:20:06;11.3044;0.686;2.1584;60.632;31.8061;0.5
22;06-02-2026;05:31:38;10.5427;0.6784;1.8706;38.913;29.6641;1.0
22;09-02-2026;10:22:14;11.4603;0.7385;2.0663;39.065;32.2377;1.25
22;09-02-2026;10:22:15;11.509;0.7542;2.1104;34.127;32.3528;1.5
22;09-02-2026;10:22:16;11.619;0.7893;2.1396;30.524;32.6381;1.75
22;09-02-2026;10:22:16;11.7693;0.8227;2.1746;28.279;33.1414;2.0
22;09-02-2026;10:22:17;11.9218;0.8536;2.2003;26.541;33.6872;2.25
22;09-02-2026;10:22:17;12.0465;0.8713;2.1715;25.127;34.0422;2.5
22;09-02-2026;10:22:18;12.1292;0.8834;2.0583;23.926;34.2258;2.75
22;09-02-2026;10:22:18;12.1915;0.8881;1.9306;22.842;34.3905;3.0
22;09-02-2026;10:22:18;12.2413;0.866;1.8483;21.978;34.6105;3.25
22;09-02-2026;10:22:19;12.2835;0.8021;1.7844;21.327;34.8864;3.5
22;09-02-2026;10:22:20;12.3122;0.7226;1.7392;20.632;35.0662;3.75
22;09-02-2026;10:22:21;12.3262;0.6759;1.7136;20.074;35.1834;4.0
22;09-02-2026;10:22:21;12.3302;0.6568;1.6856;19.901;35.2772;4.25
22;09-02-2026;10:22:21;12.3289;0.6458;1.6305;19.804;35.3785;4.5
22;09-02-2026;10:22:22;12.3219;0.6398;1.5374;19.579;35.5094;4.75
22;09-02-2026;10:22:23;12.315;0.638;1.4642;19.057;35.674;5.0
22;09-02-2026;10:22:23;12.3181;0.642;1.4079;18.286;35.852;5.25
22;09-02-2026;10:22:24;12.3316;0.6639;1.3523;17.361;36.0101;5.5
22;09-02-2026;10:22:24;12.3507;0.7045;1.2809;16.341;36.1311;5.75
22;09-02-2026;10:22:25;12.3745;0.7058;1.2197;15.319;36.2409;6.0
22;09-02-2026;10:22:25;12.4004;0.6508;1.1695;14.375;36.3452;6.25
22;09-02-2026;10:22:26;12.4239;0.6092;1.1413;13.568;36.4288;6.5
22;09-02-2026;10:22:26;12.4439;0.5941;1.1288;12.944;36.4991;6.75
22;09-02-2026;10:22:27;12.4606;0.5882;1.1168;12.5;36.5682;7.0
22;09-02-2026;10:22:27;12.4744;0.5801;1.0888;12.156;36.6378;7.25
22;09-02-2026;10:22:28;12.4883;0.5713;1.0579;11.83;36.7027;7.5
22;09-02-2026;10:22:28;12.5049;0.5645;1.0304;11.511;36.7703;7.75
22;09-02-2026;10:22:29;12.5208;0.556;1.0079;11.202;36.8228;8.0
22;09-02-2026;10:22:29;12.536;0.5422;0.9946;10.851;36.8633;8.25
22;09-02-2026;10:22:30;12.5531;0.5294;0.984;10.483;36.9019;8.5
22;09-02-2026;10:22:30;12.5739;0.5207;0.9765;10.134;36.941;8.75
22;09-02-2026;10:22:31;12.6001;0.5133;0.9677;9.7833;36.9863;9.0
22;09-02-2026;10:22:31;12.6261;0.5122;0.956;9.4059;37.0282;9.25
22;09-02-2026;10:22:32;12.6468;0.514;0.9384;8.9678;37.0555;9.5
22;09-02-2026;10:22:32;12.6625;0.5111;0.92;8.4499;37.07;9.75
22;09-02-2026;10:22:33;12.6748;0.5027;0.8958;7.8905;37.0773;10.0
22;09-02-2026;10:22:33;12.6866;0.4981;0.8751;7.3569;37.0839;10.25
22;09-02-2026;10:22:34;12.6996;0.4994;0.8549;6.963;37.0975;10.5
22;09-02-2026;10:22:35;12.7102;0.4918;0.8349;6.8267;37.1077;10.75
22;09-02-2026;10:22:35;12.7302;0.4895;0.8497;6.848;37.1367;11.0
22;09-02-2026;10:22:36;12.7548;0.4938;0.8896;6.7536;37.1843;11.25
22;09-02-2026;10:22:36;12.7767;0.492;0.9589;6.6164;37.2278;11.5
22;09-02-2026;10:22:37;12.7961;0.485;1.0637;6.4473;37.2642;11.75
22;09-02-2026;10:22:37;12.8165;0.4779;1.1232;6.2456;37.3097;12.0
22;09-02-2026;10:22:38;12.84;0.4704;1.1063;5.9931;37.3869;12.25
22;09-02-2026;10:22:38;12.8597;0.4586;1.0513;5.694;37.4586;12.5
22;09-02-2026;10:22:39;12.8725;0.4369;1.0524;5.3478;37.4959;12.75
22;09-02-2026;10:22:39;12.8796;0.3984;1.1171;4.965;37.5146;13.0
22;09-02-2026;10:22:40;12.8821;0.3657;1.1669;4.6133;37.5222;13.25
22;09-02-2026;10:22:41;12.8809;0.3405;1.1537;4.4154;37.5229;13.5
22;09-02-2026;10:22:42;12.8809;0.3375;1.1265;4.3163;37.524;13.75
22;09-02-2026;10:22:42;12.8821;0.3416;1.1586;4.1692;37.5274;14.0
22;09-02-2026;10:22:43;12.8827;0.3434;1.201;4.0154;37.5288;14.25
22;09-02-2026;10:22:43;12.8828;0.3378;1.2663;3.8628;37.5294;14.5
22;09-02-2026;10:22:43;12.8828;0.3277;1.3582;3.7195;37.5298;14.75
22;09-02-2026;10:22:44;12.8827;0.322;1.422;3.5794;37.53;15.0
22;09-02-2026;10:22:44;12.8825;0.325;1.4408;3.4336;37.5303;15.25
22;09-02-2026;10:22:45;12.8822;0.3306;1.4082;3.2719;37.5306;15.5
22;09-02-2026;10:22:45;12.8818;0.3355;1.326;3.0769;37.5311;15.75
22;09-02-2026;10:22:46;12.8815;0.3347;1.3094;2.8799;37.5314;16.0
22;09-02-2026;10:22:46;12.8815;0.3278;1.3405;2.6942;37.5317;16.25
22;09-02-2026;10:22:47;12.8814;0.3237;1.3731;2.5041;37.5322;16.5
22;09-02-2026;10:22:48;12.8817;0.332;1.3637;2.3284;37.5329;16.75
22;09-02-2026;10:22:49;12.8839;0.3338;1.3175;2.2142;37.5355;17.0
22;09-02-2026;10:22:49;12.8891;0.3322;1.3093;2.1454;37.5408;17.25
22;09-02-2026;10:22:50;12.8965;0.3342;1.3481;2.0803;37.5478;17.5
22;09-02-2026;10:22:50;12.9053;0.3349;1.3688;2.0061;37.5559;17.75
22;09-02-2026;10:22:51;12.9147;0.3364;1.3856;1.923;37.5638;18.0
22;09-02-2026;10:22:51;12.9249;0.3389;1.3994;1.8367;37.5728;18.25
22;09-02-2026;10:22:51;12.9359;0.3449;1.4026;1.7517;37.5827;18.5
22;09-02-2026;10:22:52;12.948;0.3555;1.3974;1.667;37.5927;18.75
22;09-02-2026;10:22:52;12.9603;0.3682;1.3794;1.5802;37.6018;19.0
22;09-02-2026;10:22:53;12.9707;0.3846;1.3331;1.4924;37.6074;19.25
22;09-02-2026;10:22:54;12.9763;0.3955;1.2574;1.4087;37.6091;19.5
22;09-02-2026;10:22:54;12.979;0.4039;1.1861;1.3375;37.6095;19.75
22;09-02-2026;10:22:54;12.9804;0.4091;1.1659;1.2755;37.6098;20.0
22;09-02-2026;10:22:55;12.9814;0.4138;1.1833;1.2185;37.6098;20.25
22;09-02-2026;10:22:56;12.9819;0.4193;1.1779;1.1655;37.6098;20.5
22;09-02-2026;10:22:56;12.9826;0.4241;1.1401;1.1146;37.6099;20.75
22;09-02-2026;10:22:57;12.9834;0.4198;1.1406;1.0665;37.6103;21.0
22;09-02-2026;10:22:57;12.9842;0.4084;1.1666;1.0228;37.6108;21.25
22;09-02-2026;10:22:57;12.9847;0.4001;1.1967;0.98247;37.6109;21.5
22;09-02-2026;10:22:58;12.9854;0.4092;1.2151;0.94249;37.6109;21.75
22;09-02-2026;10:22:59;12.9868;0.4263;1.2046;0.9061;37.6118;22.0
22;09-02-2026;10:22:59;12.9882;0.45;1.1629;0.87006;37.6126;22.25
22;09-02-2026;10:23:00;12.9893;0.4599;1.156;0.83601;37.613;22.5
22;09-02-2026;10:23:00;12.9905;0.4563;1.1818;0.80127;37.6135;22.75
22;09-02-2026;10:23:01;12.992;0.4496;1.1942;0.76551;37.6143;23.0
22;09-02-2026;10:23:01;12.9935;0.4376;1.1791;0.73023;37.6154;23.25
22;09-02-2026;10:23:02;12.9948;0.4281;1.1659;0.69664;37.6161;23.5
22;09-02-2026;10:23:02;12.9963;0.4251;1.1694;0.6644;37.6166;23.75
22;09-02-2026;10:23:02;12.9988;0.428;1.184;0.63519;37.6179;24.0
22;09-02-2026;10:23:03;13.0029;0.4331;1.1908;0.60746;37.6208;24.25
22;09-02-2026;10:23:03;13.0073;0.4436;1.1889;0.58057;37.6238;24.5
22;09-02-2026;10:23:04;13.0109;0.4527;1.183;0.5548;37.6251;24.75
22;09-02-2026;10:23:05;13.0136;0.4464;1.1778;0.5336;37.6255;25.0
22;09-02-2026;10:23:05;13.017;0.4325;1.1771;0.5163;37.6272;25.25
22;09-02-2026;10:23:06;13.0198;0.417;1.1899;0.49705;37.6289;25.5
22;09-02-2026;10:23:06;13.0214;0.4121;1.2349;0.475;37.6293;25.75
22;09-02-2026;10:23:07;13.0226;0.4104;1.3061;0.45297;37.6297;26.0
22;09-02-2026;10:23:07;13.0238;0.4096;1.3537;0.43043;37.63;26.25
22;09-02-2026;10:23:08;13.0248;0.4097;1.3922;0.4084;37.6303;26.5
22;09-02-2026;10:23:08;13.0256;0.412;1.4227;0.38835;37.6305;26.75
22;09-02-2026;10:23:09;13.0261;0.4208;1.4311;0.36849;37.6306;27.0
22;09-02-2026;10:23:09;13.0264;0.4257;1.4486;0.34936;37.6305;27.25
22;09-02-2026;10:23:10;13.0267;0.4238;1.4974;0.33346;37.6305;27.5
22;09-02-2026;10:23:11;13.0269;0.4149;1.5675;0.31951;37.6306;27.75
22;09-02-2026;10:23:11;13.0269;0.4092;1.6245;0.30661;37.6306;28.0
22;09-02-2026;10:23:12;13.027;0.4181;1.6322;0.29373;37.6305;28.25
22;09-02-2026;10:23:12;13.0271;0.424;1.6384;0.27951;37.6305;28.5
22;09-02-2026;10:23:13;13.0272;0.4134;1.6702;0.26434;37.6305;28.75
22;09-02-2026;10:23:13;13.0273;0.4003;1.7221;0.24855;37.6305;29.0
22;09-02-2026;10:23:17;13.0268;0.4108;1.8027;0.23806;37.6304;29.25
22;09-02-2026;10:23:31;13.0261;0.3863;1.6796;0.21669;37.6305;29.5
22;09-02-2026;10:23:36;13.0263;0.3695;1.7849;0.20827;37.6305;29.75
22;09-02-2026;10:24:08;13.0268;0.3872;1.8735;0.1972;37.6307;30.0
