#;Mise en base des profils de sonde pour Sete 2025
#;Geosciences Montpellier, Place eugene Bataillon, 34095 Montpellier
#;Mesures realisees avec Sonde SEA BIRD SBE 19+
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;TURBIDITE;PAR;SALINITE;PROFONDEUR
22;15-01-2026;09:58:27;12.1749;0.5025;1.0827;58.234;37.4171;0.75
22;15-01-2026;09:59:50;12.1567;0.5144;1.1396;59.836;37.4086;1.0
22;15-01-2026;09:59:49;12.1567;0.5034;1.1712;52.97;37.4086;1.25
22;15-01-2026;09:59:49;12.1565;0.5074;1.1723;45.499;37.4085;1.5
22;15-01-2026;09:59:51;12.1564;0.5144;1.1089;41.7;37.4083;1.75
22;15-01-2026;10:00:08;12.1572;0.5023;1.0778;33.93;37.4092;2.0
22;15-01-2026;10:00:39;12.1557;0.5335;1.1191;33.224;37.4093;2.25
22;15-01-2026;10:00:44;12.156;0.5442;1.1592;33.654;37.4094;2.5
22;15-01-2026;10:00:45;12.156;0.5358;1.1874;31.115;37.4093;2.75
22;15-01-2026;10:00:46;12.156;0.5182;1.1957;28.152;37.4093;3.0
22;15-01-2026;10:00:46;12.1561;0.4969;1.1969;25.76;37.4093;3.25
22;15-01-2026;10:00:46;12.1563;0.4811;1.1928;23.77;37.4094;3.5
22;15-01-2026;10:00:47;12.1563;0.467;1.1799;21.957;37.4094;3.75
22;15-01-2026;10:00:47;12.1564;0.4562;1.1671;20.549;37.4094;4.0
22;15-01-2026;10:00:48;12.1564;0.4564;1.1712;19.659;37.4094;4.25
22;15-01-2026;10:00:48;12.1564;0.4604;1.185;18.959;37.4092;4.5
22;15-01-2026;10:00:48;12.1563;0.4672;1.205;18.361;37.4093;4.75
22;15-01-2026;10:00:49;12.1563;0.4756;1.2191;17.901;37.4093;5.0
22;15-01-2026;10:00:49;12.1563;0.4846;1.2043;17.418;37.4094;5.25
22;15-01-2026;10:00:50;12.1563;0.4918;1.177;16.649;37.4094;5.5
22;15-01-2026;10:00:50;12.1563;0.4923;1.1708;15.723;37.4094;5.75
22;15-01-2026;10:00:50;12.1563;0.4889;1.1776;14.817;37.4094;6.0
22;15-01-2026;10:00:50;12.1563;0.4851;1.1875;13.92;37.4094;6.25
22;15-01-2026;10:00:51;12.1563;0.4848;1.1876;13.115;37.4095;6.5
22;15-01-2026;10:00:51;12.1564;0.4914;1.1612;12.391;37.4095;6.75
22;15-01-2026;10:00:52;12.1565;0.4974;1.1251;11.465;37.4095;7.0
22;15-01-2026;10:00:52;12.1565;0.4929;1.1094;10.602;37.4095;7.25
22;15-01-2026;10:00:53;12.1565;0.4877;1.0931;10.012;37.4094;7.5
22;15-01-2026;10:00:54;12.1565;0.492;1.0693;9.9177;37.4091;7.75
22;15-01-2026;10:00:54;12.1562;0.4909;1.0564;9.963;37.4091;8.0
22;15-01-2026;10:00:55;12.1559;0.4854;1.0546;9.631;37.4091;8.25
22;15-01-2026;10:00:55;12.1558;0.4842;1.0578;9.1559;37.4091;8.5
22;15-01-2026;10:00:55;12.1557;0.4849;1.0652;8.6377;37.4091;8.75
22;15-01-2026;10:00:55;12.1556;0.4854;1.0738;8.1154;37.4091;9.0
22;15-01-2026;10:00:56;12.1555;0.4855;1.0803;7.5845;37.409;9.25
22;15-01-2026;10:00:56;12.1554;0.4849;1.0845;7.0444;37.4089;9.5
22;15-01-2026;10:00:56;12.1554;0.4827;1.0863;6.4999;37.4088;9.75
22;15-01-2026;10:00:58;12.1554;0.4816;1.0815;6.3393;37.4091;10.0
22;15-01-2026;10:00:59;12.1549;0.4875;1.091;6.1427;37.4088;10.25
22;15-01-2026;10:00:59;12.1547;0.4928;1.1065;5.8796;37.4087;10.5
22;15-01-2026;10:01:00;12.1547;0.4981;1.1258;5.5908;37.4088;10.75
22;15-01-2026;10:01:00;12.1544;0.5009;1.1375;5.3016;37.409;11.0
22;15-01-2026;10:01:01;12.1531;0.5002;1.1363;5.0228;37.4087;11.25
22;15-01-2026;10:01:01;12.1507;0.4967;1.1298;4.7502;37.4077;11.5
22;15-01-2026;10:01:01;12.1476;0.493;1.1335;4.4693;37.406;11.75
22;15-01-2026;10:01:03;12.1465;0.5063;1.1446;4.1848;37.4058;12.0
22;15-01-2026;10:01:04;12.1455;0.5389;1.1657;3.9912;37.4058;12.25
22;15-01-2026;10:01:05;12.1431;0.5458;1.1658;3.8494;37.4061;12.5
22;15-01-2026;10:01:06;12.1413;0.5402;1.1514;3.6557;37.4054;12.75
22;15-01-2026;10:01:06;12.1394;0.5396;1.1586;3.4766;37.4051;13.0
22;15-01-2026;10:01:06;12.1364;0.5419;1.1844;3.313;37.4041;13.25
22;15-01-2026;10:01:07;12.1315;0.5454;1.1923;3.1307;37.403;13.5
22;15-01-2026;10:01:08;12.1288;0.5112;1.199;2.9524;37.4032;13.75
22;15-01-2026;10:01:10;12.1302;0.4918;1.1935;2.8413;37.4042;14.0
22;15-01-2026;10:01:11;12.131;0.5341;1.2365;2.7444;37.4045;14.25
