#;Mise en base des profils de sonde pour Sete 2025
#;Geosciences Montpellier, Place eugene Bataillon, 34095 Montpellier
#;Mesures realisees avec Sonde SEA BIRD SBE 19+
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;TURBIDITE;PAR;SALINITE;PROFONDEUR
22;21-04-2026;09:12:20;15.5655;0.2387;0.3562;122.55;37.4401;0.5
22;21-04-2026;09:12:21;15.5617;0.2535;0.3681;111.85;37.4394;0.75
22;21-04-2026;09:12:22;15.5526;0.235;0.3757;105.52;37.4379;1.0
22;21-04-2026;09:12:23;15.548;0.2306;0.374;97.612;37.4384;1.25
22;21-04-2026;09:12:24;15.5455;0.2538;0.3625;95.501;37.4388;1.5
22;21-04-2026;09:12:25;15.5448;0.2755;0.357;95.381;37.4391;1.75
22;21-04-2026;09:12:25;15.5445;0.2786;0.3632;95.686;37.4393;2.0
22;21-04-2026;09:12:26;15.5443;0.2736;0.3625;108.29;37.4395;2.25
22;21-04-2026;09:12:27;15.5444;0.2822;0.3626;149.46;37.4397;2.5
22;21-04-2026;09:12:28;15.5448;0.292;0.3669;168.21;37.4398;2.75
22;21-04-2026;09:12:28;15.5452;0.2957;0.372;156.86;37.4398;3.0
22;21-04-2026;09:12:29;15.5455;0.2935;0.3734;144.02;37.44;3.25
22;21-04-2026;09:12:30;15.5462;0.2883;0.3696;179.6;37.4404;3.5
22;21-04-2026;09:12:31;15.5464;0.2881;0.3642;199.32;37.4405;3.75
22;21-04-2026;09:12:31;15.546;0.2969;0.3627;163.62;37.4405;4.0
22;21-04-2026;09:12:32;15.5455;0.3065;0.361;160.79;37.4404;4.25
22;21-04-2026;09:12:33;15.5449;0.3117;0.3628;175.32;37.4403;4.5
22;21-04-2026;09:12:34;15.5446;0.3155;0.3709;161.86;37.4402;4.75
22;21-04-2026;09:12:34;15.5443;0.3144;0.3688;155.26;37.4404;5.0
22;21-04-2026;09:12:35;15.544;0.3126;0.3581;160.06;37.4405;5.25
22;21-04-2026;09:12:36;15.5438;0.3201;0.3514;161.92;37.4405;5.5
22;21-04-2026;09:12:37;15.5439;0.33;0.356;160.55;37.4405;5.75
22;21-04-2026;09:12:37;15.5441;0.3355;0.3612;161.98;37.4405;6.0
22;21-04-2026;09:12:38;15.5439;0.3409;0.3618;166.04;37.4405;6.25
22;21-04-2026;09:12:39;15.5428;0.3514;0.3526;154.53;37.4404;6.5
22;21-04-2026;09:12:40;15.5406;0.3588;0.3492;148.48;37.4399;6.75
22;21-04-2026;09:12:41;15.5355;0.3737;0.3497;147.23;37.4395;7.0
22;21-04-2026;09:12:41;15.5248;0.3848;0.3504;143.45;37.4382;7.25
22;21-04-2026;09:12:42;15.5123;0.3847;0.3502;140.36;37.4365;7.5
22;21-04-2026;09:12:43;15.4989;0.3915;0.3489;134.19;37.4367;7.75
22;21-04-2026;09:12:44;15.4811;0.4093;0.3483;134.48;37.4373;8.0
22;21-04-2026;09:12:44;15.4589;0.4213;0.3513;123.67;37.4368;8.25
22;21-04-2026;09:12:45;15.43;0.4262;0.3507;119.28;37.4378;8.5
22;21-04-2026;09:12:46;15.3858;0.4309;0.3482;120.63;37.4378;8.75
22;21-04-2026;09:12:46;15.3292;0.4491;0.3473;111.84;37.4371;9.0
22;21-04-2026;09:12:47;15.2599;0.4641;0.3498;111.16;37.4428;9.25
22;21-04-2026;09:12:48;15.1755;0.4653;0.3554;108.99;37.4474;9.5
22;21-04-2026;09:12:48;15.0745;0.4648;0.3593;103.24;37.4443;9.75
22;21-04-2026;09:12:49;14.9605;0.4654;0.362;104.68;37.4447;10.0
22;21-04-2026;09:12:50;14.8069;0.4676;0.3629;99.712;37.4668;10.25
22;21-04-2026;09:12:51;14.5674;0.4654;0.3603;94.767;37.4687;10.5
22;21-04-2026;09:12:51;14.3533;0.4596;0.3604;95.657;37.477;10.75
22;21-04-2026;09:12:52;14.1885;0.452;0.3644;95.983;37.4954;11.0
22;21-04-2026;09:12:52;14.064;0.454;0.3619;90.632;37.5238;11.25
22;21-04-2026;09:12:53;13.983;0.4567;0.3607;85.001;37.552;11.5
22;21-04-2026;09:12:54;13.9519;0.4482;0.3692;86.075;37.5654;11.75
22;21-04-2026;09:12:55;13.9193;0.4449;0.371;84.923;37.5698;12.0
22;21-04-2026;09:12:55;13.893;0.4423;0.3729;82.946;37.5763;12.25
22;21-04-2026;09:12:56;13.8864;0.4358;0.3809;77.774;37.589;12.5
22;21-04-2026;09:12:57;13.8581;0.437;0.3738;74.137;37.5855;12.75
22;21-04-2026;09:12:58;13.8265;0.4522;0.3784;72.565;37.5831;13.0
22;21-04-2026;09:12:58;13.8002;0.4899;0.3901;69.773;37.5868;13.25
22;21-04-2026;09:12:59;13.7678;0.5218;0.3802;65.945;37.5864;13.5
22;21-04-2026;09:13:00;13.7184;0.5453;0.3837;62.591;37.5803;13.75
22;21-04-2026;09:13:01;13.6583;0.5539;0.3866;60.814;37.5686;14.0
22;21-04-2026;09:13:01;13.6133;0.5443;0.3767;59.655;37.5682;14.25
22;21-04-2026;09:13:02;13.5915;0.549;0.3764;57.593;37.5728;14.5
22;21-04-2026;09:13:03;13.5776;0.5607;0.3797;56.238;37.5736;14.75
22;21-04-2026;09:13:04;13.5703;0.5657;0.3757;57.642;37.5771;15.0
22;21-04-2026;09:13:04;13.559;0.5718;0.3684;57.604;37.5764;15.25
22;21-04-2026;09:13:05;13.5491;0.5819;0.3677;56.526;37.5783;15.5
22;21-04-2026;09:13:05;13.5421;0.5995;0.3756;55.69;37.5813;15.75
22;21-04-2026;09:13:06;13.5377;0.6178;0.379;55.271;37.5855;16.0
22;21-04-2026;09:13:07;13.5303;0.6267;0.3885;54.194;37.5882;16.25
22;21-04-2026;09:13:08;13.5174;0.6279;0.4079;52.341;37.5888;16.5
22;21-04-2026;09:13:09;13.5009;0.6387;0.4038;51.007;37.5895;16.75
22;21-04-2026;09:13:10;13.4752;0.6255;0.3991;49.187;37.5864;17.0
22;21-04-2026;09:13:10;13.4462;0.6293;0.4034;47.311;37.5798;17.25
22;21-04-2026;09:13:11;13.423;0.652;0.4122;46.024;37.5798;17.5
22;21-04-2026;09:13:12;13.4146;0.6395;0.3966;44.288;37.5832;17.75
22;21-04-2026;09:13:13;13.4177;0.621;0.3977;42.867;37.587;18.0
22;21-04-2026;09:13:14;13.4239;0.6327;0.4075;41.709;37.592;18.25
22;21-04-2026;09:13:15;13.4269;0.636;0.414;40.319;37.5951;18.5
22;21-04-2026;09:13:15;13.4241;0.6131;0.414;39.294;37.596;18.75
22;21-04-2026;09:13:16;13.4178;0.6182;0.4146;38.401;37.5959;19.0
22;21-04-2026;09:13:17;13.4099;0.6303;0.4104;37.151;37.5951;19.25
22;21-04-2026;09:13:17;13.4029;0.6439;0.4018;35.784;37.5964;19.5
22;21-04-2026;09:13:18;13.3952;0.6607;0.4014;34.979;37.5969;19.75
22;21-04-2026;09:13:19;13.3911;0.6764;0.4104;34.079;37.5986;20.0
22;21-04-2026;09:13:19;13.3937;0.7042;0.4326;32.727;37.6048;20.25
22;21-04-2026;09:13:20;13.3986;0.7439;0.4533;31.565;37.6089;20.5
22;21-04-2026;09:13:21;13.4031;0.7764;0.4596;30.88;37.6108;20.75
22;21-04-2026;09:13:22;13.4113;0.8046;0.4682;29.981;37.6156;21.0
22;21-04-2026;09:13:22;13.4323;0.851;0.5005;28.902;37.6277;21.25
22;21-04-2026;09:13:23;13.4796;0.8797;0.5149;27.895;37.6606;21.5
22;21-04-2026;09:13:24;13.5472;0.9002;0.5048;27.025;37.7071;21.75
22;21-04-2026;09:13:25;13.6125;0.9518;0.491;26.219;37.7326;22.0
22;21-04-2026;09:13:25;13.6667;0.9892;0.4951;25.253;37.7732;22.25
22;21-04-2026;09:13:26;13.7073;1.0151;0.5008;24.315;37.7968;22.5
22;21-04-2026;09:13:27;13.7322;1.0156;0.5023;23.609;37.7972;22.75
22;21-04-2026;09:13:28;13.7438;1.0067;0.5522;22.938;37.7966;23.0
22;21-04-2026;09:13:28;13.7591;1.0017;0.5967;22.052;37.8114;23.25
22;21-04-2026;09:13:29;13.7757;0.9966;0.5409;21.291;37.8242;23.5
22;21-04-2026;09:13:30;13.7941;1.0058;0.4922;20.748;37.8362;23.75
22;21-04-2026;09:13:31;13.8123;1.0234;0.4909;20.012;37.8545;24.0
22;21-04-2026;09:13:31;13.8244;1.0822;0.5098;19.261;37.8668;24.25
22;21-04-2026;09:13:32;13.8315;1.2169;0.5497;18.581;37.8757;24.5
22;21-04-2026;09:13:33;13.8347;1.3367;0.6358;17.9;37.8794;24.75
22;21-04-2026;09:13:34;13.8362;1.4538;0.8118;17.068;37.8807;25.0
22;21-04-2026;09:13:34;13.8367;1.5512;1.0036;16.151;37.8815;25.25
22;21-04-2026;09:13:35;13.837;1.6278;1.1989;15.213;37.8819;25.5
22;21-04-2026;09:13:36;13.8373;1.7363;1.3975;14.257;37.882;25.75
22;21-04-2026;09:13:37;13.8378;1.8442;1.5046;13.283;37.8818;26.0
22;21-04-2026;09:13:37;13.8379;1.9223;1.561;12.316;37.8817;26.25
22;21-04-2026;09:13:38;13.8381;1.9522;1.6661;11.403;37.8817;26.5
22;21-04-2026;09:13:39;13.8384;1.9595;1.8075;10.524;37.8819;26.75
22;21-04-2026;09:13:40;13.8389;1.994;1.8472;9.6697;37.8819;27.0
