#;Mise en base des profils de sonde pour Sete 2025
#;Geosciences Montpellier, Place eugene Bataillon, 34095 Montpellier
#;Mesures realisees avec Sonde SEA BIRD SBE 19+
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;TURBIDITE;PAR;SALINITE;PROFONDEUR
22;24-03-2026;10:11:01;12.9823;0.1772;1.0347;258.51;29.1951;0.25
22;24-03-2026;10:11:11;13.0751;0.585;1.484;369.17;34.5815;0.5
22;24-03-2026;10:11:58;13.1141;0.6429;1.2666;318.57;35.0666;0.75
22;24-03-2026;10:12:37;13.1309;0.7017;1.2521;311.4;35.0818;1.0
22;24-03-2026;10:12:40;13.1327;0.7643;1.2613;223.37;35.0886;1.25
22;24-03-2026;10:12:41;13.134;0.8065;1.2592;170.16;35.1022;1.5
22;24-03-2026;10:12:41;13.1381;0.8549;1.2548;149.57;35.1351;1.75
22;24-03-2026;10:12:42;13.152;0.9381;1.2343;130.33;35.2227;2.0
22;24-03-2026;10:12:43;13.1921;1.027;1.2125;118.15;35.4455;2.25
22;24-03-2026;10:12:43;13.2575;1.0901;1.1966;113.08;35.8322;2.5
22;24-03-2026;10:12:44;13.3294;1.1227;1.1656;105.06;36.2166;2.75
22;24-03-2026;10:12:44;13.3975;1.131;1.0945;94.839;36.4892;3.0
22;24-03-2026;10:12:45;13.4489;1.0977;0.9967;87.423;36.6604;3.25
22;24-03-2026;10:12:46;13.4798;1.0243;0.881;83.402;36.7803;3.5
22;24-03-2026;10:12:46;13.5067;0.9655;0.8314;81.603;36.8959;3.75
22;24-03-2026;10:12:46;13.5321;0.8952;0.7987;78.415;37.0119;4.0
22;24-03-2026;10:12:47;13.5519;0.823;0.7601;73.738;37.0923;4.25
22;24-03-2026;10:12:47;13.5634;0.7354;0.7;69.515;37.1351;4.5
22;24-03-2026;10:12:48;13.5666;0.7071;0.6562;68.134;37.1523;4.75
22;24-03-2026;10:12:49;13.5656;0.7196;0.6377;67.842;37.1586;5.0
22;24-03-2026;10:12:49;13.5631;0.7397;0.6369;66.876;37.1627;5.25
22;24-03-2026;10:12:49;13.5599;0.777;0.6551;64.823;37.1662;5.5
22;24-03-2026;10:12:50;13.5562;0.8162;0.6783;62.856;37.1704;5.75
22;24-03-2026;10:12:51;13.5533;0.8308;0.6887;62.79;37.1741;6.0
22;24-03-2026;10:12:51;13.5502;0.855;0.7096;62.018;37.1795;6.25
22;24-03-2026;10:12:52;13.5463;0.8808;0.7374;60.317;37.1867;6.5
22;24-03-2026;10:12:52;13.542;0.9015;0.7722;58.238;37.193;6.75
22;24-03-2026;10:12:53;13.5358;0.9334;0.8445;56.126;37.1979;7.0
22;24-03-2026;10:12:53;13.5289;1.0327;0.8862;54.585;37.2015;7.25
22;24-03-2026;10:12:54;13.5247;1.12;0.8902;52.925;37.2027;7.5
22;24-03-2026;10:12:55;13.5219;1.1251;0.9034;50.825;37.2031;7.75
22;24-03-2026;10:12:55;13.5199;1.0815;0.9233;48.293;37.2034;8.0
22;24-03-2026;10:12:55;13.5187;1.0701;0.9218;45.854;37.2042;8.25
22;24-03-2026;10:12:56;13.5183;1.0847;0.9073;44.093;37.2056;8.5
22;24-03-2026;10:12:57;13.5189;1.1058;0.9058;42.739;37.2078;8.75
22;24-03-2026;10:12:57;13.5192;1.1326;0.9131;40.993;37.2098;9.0
22;24-03-2026;10:12:58;13.5191;1.1544;0.9212;39.073;37.2114;9.25
22;24-03-2026;10:12:58;13.5182;1.1771;0.9303;37.283;37.2127;9.5
22;24-03-2026;10:12:58;13.5169;1.1906;0.9327;35.599;37.2132;9.75
22;24-03-2026;10:12:59;13.5147;1.1923;0.9234;33.917;37.2131;10.0
22;24-03-2026;10:13:00;13.512;1.1933;0.9048;32.308;37.2127;10.25
22;24-03-2026;10:13:00;13.5088;1.2048;0.8824;30.942;37.2129;10.5
22;24-03-2026;10:13:01;13.5043;1.2124;0.8705;29.728;37.2125;10.75
22;24-03-2026;10:13:01;13.4993;1.2188;0.8603;28.527;37.2115;11.0
22;24-03-2026;10:13:01;13.4943;1.2221;0.8466;27.321;37.2122;11.25
22;24-03-2026;10:13:02;13.4898;1.2099;0.8257;26.112;37.2154;11.5
22;24-03-2026;10:13:02;13.486;1.18;0.7911;24.954;37.2204;11.75
22;24-03-2026;10:13:03;13.4829;1.1604;0.7569;23.897;37.2268;12.0
22;24-03-2026;10:13:04;13.4812;1.1647;0.7223;23.027;37.2323;12.25
22;24-03-2026;10:13:04;13.4809;1.1703;0.6992;22.215;37.2361;12.5
22;24-03-2026;10:13:05;13.4812;1.1726;0.6804;21.363;37.2396;12.75
22;24-03-2026;10:13:05;13.4819;1.1656;0.6563;20.53;37.2427;13.0
22;24-03-2026;10:13:06;13.4823;1.1458;0.6169;19.75;37.2453;13.25
22;24-03-2026;10:13:06;13.4826;1.1133;0.5764;19.062;37.2461;13.5
22;24-03-2026;10:13:07;13.4828;1.0568;0.5382;18.511;37.2466;13.75
22;24-03-2026;10:13:07;13.4832;0.9992;0.5252;17.981;37.2483;14.0
22;24-03-2026;10:13:08;13.4833;0.9695;0.5155;17.469;37.2491;14.25
22;24-03-2026;10:13:09;13.4833;0.967;0.498;16.98;37.2499;14.5
22;24-03-2026;10:13:09;13.4831;0.9699;0.4869;16.503;37.2506;14.75
