#;Mise en base des profils de sonde pour Sete 2025
#;Geosciences Montpellier, Place eugene Bataillon, 34095 Montpellier
#;Mesures realisees avec Sonde SEA BIRD SBE 19+
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;TURBIDITE;PAR;SALINITE;PROFONDEUR
22;30-06-2026;09:06:00;24.1944;0.0075;0.6891;130.5;33.7553;0.25
22;30-06-2026;09:06:02;24.1456;0.1884;0.4896;116.91;36.8239;0.5
22;30-06-2026;09:06:21;24.133;0.2152;0.3996;108.21;37.4305;0.75
22;30-06-2026;09:07:22;24.097;0.2189;0.3698;103.89;37.4776;1.0
22;30-06-2026;09:07:18;24.0802;0.2206;0.3755;97.412;37.4789;1.25
22;30-06-2026;09:07:19;24.0532;0.2211;0.3792;91.964;37.4859;1.5
22;30-06-2026;09:07:19;24.0131;0.2215;0.3835;87.811;37.4956;1.75
22;30-06-2026;09:07:19;23.9427;0.2239;0.3864;85.5;37.5079;2.0
22;30-06-2026;09:07:20;23.8446;0.2289;0.3885;83.823;37.5193;2.25
22;30-06-2026;09:07:20;23.7177;0.2356;0.3904;82.558;37.5292;2.5
22;30-06-2026;09:07:20;23.5515;0.2416;0.392;81.822;37.5378;2.75
22;30-06-2026;09:07:20;23.3502;0.2447;0.3933;81.713;37.5444;3.0
22;30-06-2026;09:07:21;23.1254;0.2452;0.3945;82.375;37.5467;3.25
22;30-06-2026;09:07:21;22.8895;0.244;0.396;83.9;37.5481;3.5
22;30-06-2026;09:07:21;22.6552;0.2422;0.3976;86.248;37.5515;3.75
22;30-06-2026;09:07:22;22.4331;0.24;0.3999;89.271;37.5589;4.0
22;30-06-2026;09:07:22;22.2327;0.2363;0.4032;92.746;37.5757;4.25
22;30-06-2026;09:07:22;22.0592;0.2302;0.4085;96.413;37.6029;4.5
22;30-06-2026;09:07:22;21.914;0.2221;0.4154;100.2;37.6337;4.75
22;30-06-2026;09:07:23;21.7927;0.2156;0.4218;104.35;37.6617;5.0
22;30-06-2026;09:07:23;21.6889;0.2116;0.4272;109.06;37.686;5.25
22;30-06-2026;09:07:23;21.591;0.2094;0.4339;114.93;37.7114;5.5
22;30-06-2026;09:07:23;21.4806;0.2073;0.439;121.22;37.7379;5.75
22;30-06-2026;09:07:24;21.3515;0.2052;0.4399;127.37;37.7604;6.0
22;30-06-2026;09:07:24;21.2042;0.2023;0.4351;131.8;37.7725;6.25
22;30-06-2026;09:07:24;21.0523;0.1978;0.4268;132.43;37.7805;6.5
22;30-06-2026;09:07:25;20.9015;0.1915;0.4205;129.66;37.7999;6.75
22;30-06-2026;09:07:25;20.7428;0.1828;0.4144;127.76;37.8166;7.0
22;30-06-2026;09:07:25;20.5794;0.1721;0.4078;126.46;37.8208;7.25
22;30-06-2026;09:07:25;20.4212;0.1619;0.4017;125.89;37.8126;7.5
22;30-06-2026;09:07:26;20.281;0.1543;0.3965;125.69;37.808;7.75
22;30-06-2026;09:07:26;20.1615;0.1481;0.3913;125.45;37.8125;8.0
22;03-07-2026;00:30:50;20.3027;0.1405;0.3863;126.07;38.3783;8.5
22;30-06-2026;09:07:27;19.8866;0.1277;0.3675;121.56;37.8426;8.75
22;30-06-2026;09:07:27;19.8122;0.1234;0.3614;118.92;37.8504;9.0
22;30-06-2026;09:07:27;19.741;0.124;0.3608;116.48;37.8603;9.25
22;30-06-2026;09:07:27;19.6715;0.1267;0.3622;114.94;37.8693;9.5
22;30-06-2026;09:07:28;19.6043;0.129;0.3641;114.12;37.8747;9.75
22;30-06-2026;09:07:28;19.5414;0.1297;0.3658;113.64;37.876;10.0
22;30-06-2026;09:07:28;19.4837;0.1288;0.3669;112.78;37.8773;10.25
22;30-06-2026;09:07:28;19.4295;0.1269;0.3678;111.21;37.8805;10.5
22;30-06-2026;09:07:29;19.3773;0.1247;0.3682;108.76;37.8853;10.75
22;30-06-2026;09:07:29;19.3252;0.1226;0.368;105.61;37.891;11.0
22;30-06-2026;09:07:29;19.27;0.1206;0.3669;102.64;37.8977;11.25
22;30-06-2026;09:07:29;19.2073;0.1191;0.3656;100.56;37.9046;11.5
22;30-06-2026;09:07:30;19.1318;0.1195;0.3682;98.805;37.9096;11.75
22;30-06-2026;09:07:30;19.0416;0.1231;0.3795;96.701;37.9093;12.0
22;30-06-2026;09:07:30;18.9439;0.1325;0.4106;94.262;37.9055;12.25
22;30-06-2026;09:07:31;18.8526;0.1467;0.4558;91.921;37.9093;12.5
22;30-06-2026;09:07:31;18.7675;0.1598;0.4947;89.707;37.9148;12.75
22;30-06-2026;09:07:31;18.6895;0.1697;0.5183;87.504;37.9181;13.0
22;30-06-2026;09:07:32;18.6269;0.1791;0.5312;84.989;37.9245;13.25
22;30-06-2026;09:07:32;18.579;0.187;0.5403;82.34;37.9339;13.5
22;30-06-2026;09:07:32;18.5443;0.1916;0.5469;79.784;37.9405;13.75
22;30-06-2026;09:07:33;18.5157;0.1946;0.5533;77.358;37.9445;14.0
