// Creator: RBR Ltd.
// Create time: 2026-07-20T06:51:36
// Instrument model firmware and serialID: RBRconcerto³ 1.160 241494
// Sample period: 0.5 second
// Processing history:
//	C:\Users\Domeau\Documents\MEDIMEER\Python\Somlit_rbr_toolbox\proc_data\rbr_concerto_profile_0_2026-05-20T07-19-59_to_2026-05-20T07-24-44.rsk opened using pyRSKtools v1.3.0.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, par, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 49.3188 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomal derived using the TEOS-10 library.
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [30.625  0.75 ] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    par(µmol/m²/s),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2026-05-20T07:22:59.000,    nan,    nan,    nan,    0.75,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    1.25,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    2.0,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    2.5,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    3.5,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    4.0,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    4.75,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    5.5,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    6.0,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    7.0,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    7.5,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    8.0,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    9.0,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    9.75,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    10.5,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    11.25,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    11.75,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    12.25,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    13.25,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    14.0,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    14.5,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    15.25,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    15.75,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    16.5,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    17.5,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    18.25,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    18.75,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    19.5,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    20.5,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    21.0,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    21.75,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    22.5,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    23.75,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    24.25,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    25.5,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    26.0,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    26.75,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    27.75,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    28.75,    nan,    nan,    d
2026-05-20T07:22:59.000,    nan,    nan,    nan,    0.75,    nan,    nan,    u
2026-05-20T07:24:43.000,    46.35793685913086,    15.727185072377324,    919.2456665039062,    1.0,    37.457944700965484,    27.705610745730382,    u
2026-05-20T07:22:59.000,    nan,    nan,    nan,    1.25,    nan,    nan,    u
2026-05-20T07:24:42.500,    46.30511474609375,    15.68811829132028,    802.29150390625,    1.5,    37.447008706543166,    27.70620445430768,    u
2026-05-20T07:24:42.000,    46.30461502075195,    15.624656687374227,    556.420654296875,    1.75,    37.506870140268965,    27.76692641429736,    u
2026-05-20T07:22:59.000,    nan,    nan,    nan,    2.0,    nan,    nan,    u
2026-05-20T07:24:41.500,    46.28131866455078,    15.58352478616871,    297.76837158203125,    2.25,    37.5247465554854,    27.790159341740264,    u
2026-05-20T07:22:59.000,    nan,    nan,    nan,    2.5,    nan,    nan,    u
2026-05-20T07:24:41.000,    46.33295822143555,    15.55652557767462,    293.31817626953125,    2.75,    37.59741093493247,    27.852354996259464,    u
2026-05-20T07:24:40.500,    46.30939865112305,    15.537175600999035,    247.40072631835938,    3.0,    37.59429701352022,    27.8544058348225,    u
2026-05-20T07:24:40.000,    46.30554962158203,    15.503610845189542,    237.5507354736328,    3.25,    37.62282152032893,    27.88408434622761,    u
2026-05-20T07:22:59.000,    nan,    nan,    nan,    3.5,    nan,    nan,    u
2026-05-20T07:24:39.500,    46.3003044128418,    15.46257813135162,    260.1655578613281,    3.75,    37.657248864208604,    27.9200155144606,    u
2026-05-20T07:22:59.000,    nan,    nan,    nan,    4.0,    nan,    nan,    u
2026-05-20T07:24:39.000,    46.26765060424805,    15.442724612075835,    201.68466186523438,    4.25,    37.646286407053616,    27.916119629035165,    u
2026-05-20T07:24:38.500,    46.25078582763672,    15.429801027290523,    209.32418823242188,    4.5,    37.64311564874914,    27.916640951151294,    u
2026-05-20T07:22:59.000,    nan,    nan,    nan,    4.75,    nan,    nan,    u
2026-05-20T07:24:38.000,    46.25041961669922,    15.419627076713368,    210.01339721679688,    5.0,    37.65240492356647,    27.926135257733222,    u
2026-05-20T07:24:37.500,    46.249454498291016,    15.406151430332102,    187.6422882080078,    5.25,    37.664296527783506,    27.938390281808097,    u
2026-05-20T07:22:59.000,    nan,    nan,    nan,    5.5,    nan,    nan,    u
2026-05-20T07:24:37.000,    46.25016784667969,    15.388744509546086,    241.12368774414062,    5.75,    37.68148713725267,    27.955627191854546,    u
2026-05-20T07:22:59.000,    nan,    nan,    nan,    6.0,    nan,    nan,    u
2026-05-20T07:24:36.500,    46.24412155151367,    15.372066347743385,    205.40516662597656,    6.25,    37.69181609149314,    27.96740577814353,    u
2026-05-20T07:24:36.000,    46.24370193481445,    15.354245608206838,    244.77981567382812,    6.5,    37.708446364994664,    27.984296841308606,    u
2026-05-20T07:24:35.500,    46.29978561401367,    15.321138310944661,    204.1468048095703,    6.75,    37.79163479826986,    28.055977663614385,    u
2026-05-20T07:22:59.000,    nan,    nan,    nan,    7.0,    nan,    nan,    u
2026-05-20T07:24:35.000,    46.29730224609375,    15.284754033898935,    206.39703369140625,    7.25,    37.82434736964924,    28.089488995361307,    u
2026-05-20T07:22:59.000,    nan,    nan,    nan,    7.5,    nan,    nan,    u
2026-05-20T07:24:34.500,    46.28026580810547,    15.255664372001775,    177.56846618652344,    7.75,    37.83664752204454,    28.105598836331183,    u
2026-05-20T07:22:59.000,    nan,    nan,    nan,    8.0,    nan,    nan,    u
