// Creator: RBR Ltd.
// Create time: 2026-07-20T06:51:39
// Instrument model firmware and serialID: RBRconcerto³ 1.160 241494
// Sample period: 0.5 second
// Processing history:
//	C:\Users\Domeau\Documents\MEDIMEER\Python\Somlit_rbr_toolbox\proc_data\rbr_concerto_profile_2_2026-06-16T07-08-09_to_2026-06-16T07-12-08.rsk opened using pyRSKtools v1.3.0.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, par, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 49.3188 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomal derived using the TEOS-10 library.
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [ 0.625 29.75 ] boundaries with [0.25] m bin size.
// Comment: down CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    par(µmol/m²/s),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2026-06-16T07:08:37.750,    50.90965461730957,    19.428243865200784,    82.51431655883789,    0.75,    37.98180291378307,    27.192164957208433,    d
2026-06-16T07:09:23.666,    50.906558990478516,    19.424791869785015,    86.54480107625325,    1.0,    37.98223483002381,    27.193419652108332,    d
2026-06-16T07:08:09.500,    nan,    nan,    nan,    1.25,    nan,    nan,    d
2026-06-16T07:09:45.000,    50.905818939208984,    19.422077025985345,    70.66950225830078,    1.5,    37.9839291789551,    27.195450231325367,    d
2026-06-16T07:09:45.500,    50.907108306884766,    19.419522399432026,    78.30035400390625,    1.75,    37.987267646601104,    27.198684579318297,    d
2026-06-16T07:09:46.000,    50.893409729003906,    19.41600616334472,    66.75301361083984,    2.0,    37.97885625763987,    27.19319619146154,    d
2026-06-16T07:09:46.500,    50.891563415527344,    19.408500365680084,    67.22779083251953,    2.25,    37.98404509771541,    27.19915341572937,    d
2026-06-16T07:09:47.000,    50.892417907714844,    19.40519165014848,    64.0486068725586,    2.5,    37.987673026559136,    27.20281165838537,    d
2026-06-16T07:09:47.500,    50.89166259765625,    19.403676147339866,    61.23246383666992,    2.75,    37.98833143085364,    27.203725290620696,    d
2026-06-16T07:09:48.000,    50.89362335205078,    19.40290191641543,    60.467323303222656,    3.0,    37.99060618349917,    27.20567777421593,    d
2026-06-16T07:09:48.500,    50.89179611206055,    19.402338561951183,    58.726219177246094,    3.25,    37.98948913752078,    27.20498419798969,    d
2026-06-16T07:09:49.000,    50.886817932128906,    19.401549071539193,    58.38450622558594,    3.5,    37.98588534285847,    27.202455040864834,    d
2026-06-16T07:08:09.500,    nan,    nan,    nan,    3.75,    nan,    nan,    d
2026-06-16T07:09:49.500,    50.876007080078125,    19.39584350353107,    58.03123092651367,    4.0,    37.981830856189546,    27.20088059977479,    d
2026-06-16T07:09:50.000,    50.72884750366211,    19.35653834801633,    56.47345733642578,    4.25,    37.89379712055786,    27.143953911370545,    d
2026-06-16T07:08:09.500,    nan,    nan,    nan,    4.5,    nan,    nan,    d
2026-06-16T07:09:50.500,    50.03471374511719,    19.06126336287707,    57.77088165283203,    4.75,    37.576994485300254,    26.97895331700761,    d
2026-06-16T07:08:09.500,    nan,    nan,    nan,    5.0,    nan,    nan,    d
2026-06-16T07:09:51.000,    49.740787506103516,    18.651348227402195,    62.446014404296875,    5.25,    37.70122830854614,    27.17986187238739,    d
2026-06-16T07:08:09.500,    nan,    nan,    nan,    5.5,    nan,    nan,    d
2026-06-16T07:09:51.500,    49.65705108642578,    18.404833352426067,    82.09355926513672,    5.75,    37.85626498728318,    27.361596201405064,    d
2026-06-16T07:09:52.000,    49.57072448730469,    18.268986499286257,    76.07183837890625,    6.0,    37.90764050762498,    27.435492850871697,    d
2026-06-16T07:08:09.500,    nan,    nan,    nan,    6.25,    nan,    nan,    d
2026-06-16T07:09:52.500,    49.53838348388672,    18.193337394855917,    112.5782699584961,    6.5,    37.94987621808819,    27.487027660823514,    d
2026-06-16T07:09:53.000,    49.5067253112793,    18.14532805827912,    116.99378204345703,    6.75,    37.96706646157919,    27.5123534391646,    d
2026-06-16T07:08:09.500,    nan,    nan,    nan,    7.0,    nan,    nan,    d
2026-06-16T07:09:53.500,    49.44374465942383,    18.10714873543475,    129.0419464111328,    7.25,    37.94803205441293,    27.507426517295244,    d
2026-06-16T07:09:54.000,    49.4134521484375,    18.060825495165773,    115.66273498535156,    7.5,    37.964805892813516,    27.531978398841375,    d
2026-06-16T07:08:09.500,    nan,    nan,    nan,    7.75,    nan,    nan,    d
