// Creator: RBR Ltd.
// Create time: 2026-07-20T06:51:40
// Instrument model firmware and serialID: RBRconcerto³ 1.160 241494
// Sample period: 0.5 second
// Processing history:
//	C:\Users\Domeau\Documents\MEDIMEER\Python\Somlit_rbr_toolbox\proc_data\rbr_concerto_profile_3_2026-06-16T07-13-43_to_2026-06-16T07-17-21.rsk opened using pyRSKtools v1.3.0.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, par, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045,-0.045,-0.045,-0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 49.3188 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomal derived using the TEOS-10 library.
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [30.625  0.75 ] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    par(µmol/m²/s),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2026-06-16T07:16:13.000,    nan,    nan,    nan,    0.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    1.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    1.5,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    2.5,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    3.0,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    3.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    4.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    4.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    5.0,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    5.5,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    6.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    6.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    7.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    7.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    8.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    8.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    9.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    10.0,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    10.5,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    10.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    11.5,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    12.0,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    12.5,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    12.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    13.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    14.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    14.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    15.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    15.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    16.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    16.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    17.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    17.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    18.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    18.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    19.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    20.0,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    20.5,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    21.0,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    21.5,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    22.0,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    22.5,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    23.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    23.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    24.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    25.0,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    25.5,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    26.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    26.75,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    28.0,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    29.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    30.25,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    30.5,    nan,    nan,    d
2026-06-16T07:16:13.000,    nan,    nan,    nan,    0.75,    nan,    nan,    u
2026-06-16T07:17:19.500,    50.88555908203125,    19.354066777275875,    103.9422607421875,    1.0,    38.02924340765649,    27.247969551570577,    u
