// Creator: RBR Ltd.
// Create time: 2026-07-20T06:51:41
// Instrument model firmware and serialID: RBRconcerto³ 1.160 241494
// Sample period: 0.5 second
// Processing history:
//	C:\Users\Domeau\Documents\MEDIMEER\Python\Somlit_rbr_toolbox\proc_data\rbr_concerto_profile_4_2026-07-15T07-28-13_to_2026-07-15T07-34-11.rsk opened using pyRSKtools v1.3.0.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, par, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 49.3188 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomal derived using the TEOS-10 library.
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [ 0.625 30.5  ] boundaries with [0.25] m bin size.
// Comment: down CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    par(µmol/m²/s),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2026-07-15T07:28:43.750,    55.80842971801758,    26.324686050094897,    351.5603256225586,    0.75,    35.978097668284185,    23.670444278946093,    d
2026-07-15T07:28:13.500,    nan,    nan,    nan,    1.0,    nan,    nan,    d
2026-07-15T07:29:42.000,    55.84174728393555,    26.317232055822387,    226.45787048339844,    1.25,    36.00799485375381,    23.6953800482421,    d
2026-07-15T07:29:42.500,    55.85258102416992,    26.318308105692267,    213.02369689941406,    1.5,    36.01497997212553,    23.700318518535482,    d
2026-07-15T07:29:43.000,    55.90523147583008,    26.319701538188383,    128.57955932617188,    1.75,    36.0520542616047,    23.727862217668303,    d
2026-07-15T07:29:43.500,    55.90659713745117,    26.320307006826624,    162.46945190429688,    2.0,    36.05253722715536,    23.728043048991367,    d
2026-07-15T07:29:44.000,    55.989871978759766,    26.319232481182553,    132.8312530517578,    2.25,    36.113844813409635,    23.774638022026465,    d
2026-07-15T07:28:13.500,    nan,    nan,    nan,    2.5,    nan,    nan,    d
2026-07-15T07:29:44.500,    56.11418914794922,    26.30747100582812,    124.36040496826172,    2.75,    36.213364284936404,    23.853451297165748,    d
2026-07-15T07:28:13.500,    nan,    nan,    nan,    3.0,    nan,    nan,    d
2026-07-15T07:29:45.750,    56.15574550628662,    26.2854276271828,    104.83435440063477,    3.25,    36.26084377258785,    23.89626297257942,    d
2026-07-15T07:28:13.500,    nan,    nan,    nan,    3.5,    nan,    nan,    d
2026-07-15T07:29:47.666,    56.289265950520836,    26.281423746142536,    101.58007303873698,    3.75,    36.36112909905924,    23.97320185766273,    d
2026-07-15T07:29:49.500,    56.36220041910807,    26.262774657147627,    106.54292805989583,    4.0,    36.42902573284519,    24.030320745760566,    d
2026-07-15T07:29:50.500,    56.443260192871094,    26.24965850415174,    101.56224060058594,    4.25,    36.498485525013365,    24.086878502897207,    d
2026-07-15T07:29:51.250,    56.43644905090332,    26.189142143237405,    98.44741821289062,    4.5,    36.54157040591015,    24.138512985550392,    d
