// Creator: RBR Ltd.
// Create time: 2026-07-20T06:51:42
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	C:\Users\Domeau\Documents\MEDIMEER\Python\Somlit_rbr_toolbox\proc_data\rbr_maestro_profile_0_2025-10-14T10-06-15_to_2025-10-14T10-07-31.rsk opened using pyRSKtools v1.3.0.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature2, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 49.3188 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomal derived using the TEOS-10 library.
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [ 0.625 14.5  ] boundaries with [0.25] m bin size.
// Comment: down CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    dissolved_o2_concentration(µmol/L),    par(µmol/m²/s),    ph(pH_units),    chlorophyll-a(µg/L),    fdom(ppb),    turbidity(FTU),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2025-10-14T10:06:15.750,    44.25638484954834,    16.058718566899188,    292.2610321044922,    199.69342041015625,    9.950759410858154,    1.8545001149177551,    2.951750159263611,    1.2616499662399292,    0.75,    35.26163586565321,    25.939179624629446,    d
2025-10-14T10:06:17.250,    44.258811950683594,    16.05889533998561,    291.13182067871094,    183.34811401367188,    9.950902462005615,    1.9492501020431519,    2.903000235557556,    1.3236749768257141,    1.0,    35.26354725648672,    25.940617515881286,    d
2025-10-14T10:06:17.750,    44.259469985961914,    16.05901679993258,    290.8535919189453,    178.49688720703125,    9.94869327545166,    1.9070000648498535,    2.943000078201294,    1.4257000088691711,    1.25,    35.26397539892272,    25.940923446993224,    d
2025-10-14T10:06:19.000,    44.26054000854492,    16.05917907715775,    292.21881103515625,    173.09877014160156,    9.94869327545166,    2.07450008392334,    2.9070000648498535,    1.2941999435424805,    1.5,    35.26467804139307,    25.94143623441846,    d
2025-10-14T10:06:19.500,    44.26016616821289,    16.059223632793874,    292.2196960449219,    159.80746459960938,    9.949010848999023,    1.9695000648498535,    2.931500196456909,    1.2636499404907227,    1.75,    35.26421695532654,    25.94107946659892,    d
2025-10-14T10:06:20.000,    44.260154724121094,    16.059090576134622,    290.5577087402344,    159.848388671875,    9.946380615234375,    1.808000087738037,    2.9870002269744873,    1.4086499214172363,    2.0,    35.264220745832084,    25.9411224587559,    d
2025-10-14T10:06:20.500,    44.25986862182617,    16.058840942336246,    290.5578308105469,    153.3240966796875,    9.948614120483398,    1.8940000534057617,    2.9260001182556152,    1.3343499898910522,    2.25,    35.264087184843575,    25.941086262289218,    d
2025-10-14T10:06:21.000,    44.26044464111328,    16.058579711942002,    292.0564880371094,    139.32574462890625,    9.94938850402832,    1.9410001039505005,    2.948500156402588,    1.3298499584197998,    2.5,    35.26474721612162,    25.941661651181448,    d
2025-10-14T10:06:21.500,    44.26129913330078,    16.05873809813056,    292.0556335449219,    132.08029174804688,    9.948980331420898,    1.852000117301941,    2.870000123977661,    1.226699948310852,    2.75,    35.26528533721416,    25.942046618674567,    d
2025-10-14T10:06:22.000,    44.261497497558594,    16.058635559049435,    290.8297119140625,    120.56857299804688,    9.948790550231934,    1.88100004196167,    2.9205000400543213,    1.4451500177383423,    3.0,    35.265403647602,    25.94217480072416,    d
2025-10-14T10:06:22.500,    44.26212692260742,    16.05849884042982,    290.8284912109375,    110.44132232666016,    9.948831558227539,    1.9690001010894775,    2.9215002059936523,    1.3038499355316162,    3.25,    35.265961754000024,    25.942646744412286,    d
2025-10-14T10:06:23.000,    44.26268005371094,    16.05913146981038,    292.685791015625,    104.6452407836914,    9.949353218078613,    1.961500108242035,    2.9190001487731934,    1.3027499914169312,    3.5,    35.26578138523632,    25.942372810628513,    d
2025-10-14T10:06:15.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    3.75,    nan,    nan,    d
2025-10-14T10:06:23.500,    44.262935638427734,    16.059639587416314,    292.6867370605469,    97.54232788085938,    9.94858455657959,    1.9540001153945923,    2.890500068664551,    1.2800999879837036,    4.0,    35.265429715149715,    25.941997282068314,    d
2025-10-14T10:06:24.000,    44.26361846923828,    16.05973114015069,    291.9135437011719,    85.7271957397461,    9.950865745544434,    2.1010000705718994,    2.9220001697540283,    1.3715999126434326,    4.25,    35.265795693768936,    25.942272388597303,    d
2025-10-14T10:06:24.500,    44.26377868652344,    16.059808959951624,    291.91387939453125,    80.6833267211914,    9.951977729797363,    2.1510000228881836,    2.877500057220459,    1.2588999271392822,    4.5,    35.26575309996309,    25.942232351713074,    d
2025-10-14T10:06:25.000,    44.26377487182617,    16.05971496575512,    292.1887512207031,    76.35074615478516,    9.951971054077148,    1.9875000715255737,    2.869000196456909,    1.3327499628067017,    4.75,    35.26574377031438,    25.94225493339377,    d
2025-10-14T10:06:25.500,    44.26404571533203,    16.059309692354873,    292.1876525878906,    69.58935546875,    9.951587677001953,    1.9470001459121704,    2.9035000801086426,    1.2884999513626099,    5.0,    35.266231693537875,    25.94273363503794,    d
2025-10-14T10:06:15.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    5.25,    nan,    nan,    d
2025-10-14T10:06:26.000,    44.26736068725586,    16.059134826646186,    291.2987365722656,    62.24370574951172,    9.953214645385742,    1.9945000410079956,    2.9195001125335693,    1.3520499467849731,    5.5,    35.26918905531556,    25.945061968724076,    d
2025-10-14T10:06:26.500,    44.26845169067383,    16.05905975343194,    291.29705810546875,    57.578060150146484,    9.954904556274414,    2.189500093460083,    2.889500141143799,    1.2968999147415161,    5.75,    35.2700810503764,    25.94577858866046,    d
2025-10-14T10:06:15.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    6.0,    nan,    nan,    d
2025-10-14T10:06:27.000,    44.2686653137207,    16.059137573232874,    292.00347900390625,    53.272274017333984,    9.955687522888184,    1.9515000581741333,    2.8620002269744873,    1.2904499769210815,    6.25,    35.27007986994342,    25.945770963711993,    d
2025-10-14T10:06:27.500,    44.2690544128418,    16.059076538076624,    292.0030822753906,    49.403995513916016,    9.956231117248535,    1.964500069618225,    2.8630001544952393,    1.4760500192642212,    6.5,    35.270366324864284,    25.946015725739016,    d
2025-10-14T10:06:28.000,    44.269718170166016,    16.059015502920374,    292.44537353515625,    46.58145523071289,    9.9555025100708,    1.9095001220703125,    2.9645001888275146,    1.3399499654769897,    6.75,    35.27088896338357,    25.946442901552246,    d
2025-10-14T10:06:28.500,    44.2700309753418,    16.058965454110876,    292.4449768066406,    43.974849700927734,    9.955646514892578,    2.2235000133514404,    2.875000238418579,    1.2898499965667725,    7.0,    35.271089116261805,    25.946619551502863,    d
2025-10-14T10:06:15.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    7.25,    nan,    nan,    d
2025-10-14T10:06:29.000,    44.27042007446289,    16.0590319824405,    292.5606689453125,    40.59768295288086,    9.955612182617188,    2.057000160217285,    2.8605000972747803,    1.3768999576568604,    7.5,    35.271229044210415,    25.946725346482026,    d
2025-10-14T10:06:29.500,    44.27183532714844,    16.059138946526218,    292.55889892578125,    37.492897033691406,    9.955548286437988,    1.9295001029968262,    2.880500078201294,    3.1069998741149902,    7.75,    35.272255392674204,    25.947502809473917,    d
2025-10-14T10:06:30.000,    44.27203369140625,    16.05909317015903,    291.3718566894531,    35.38446044921875,    9.956676483154297,    1.9885001182556152,    2.86650013923645,    1.4563000202178955,    8.0,    35.27235372158055,    25.94759981311904,    d
2025-10-14T10:06:30.500,    44.27185821533203,    16.05899383535143,    291.3720703125,    33.51594543457031,    9.957798957824707,    1.8375000953674316,    2.927000045776367,    1.341749906539917,    8.25,    35.272186622824165,    25.9475031668901,    d
2025-10-14T10:06:15.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    8.5,    nan,    nan,    d
2025-10-14T10:06:31.000,    44.27156448364258,    16.05836120597087,    291.39422607421875,    31.37505531311035,    9.957886695861816,    2.00600004196167,    2.9055001735687256,    1.4992499351501465,    8.75,    35.27236704598404,    25.9477982272183,    d
2025-10-14T10:06:31.500,    44.26925277709961,    16.057652587536722,    291.39703369140625,    28.772674560546875,    9.954604148864746,    1.8500001430511475,    2.8930001258850098,    1.374400019645691,    9.0,    35.27078668594092,    25.946759384978577,    d
2025-10-14T10:06:15.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.25,    nan,    nan,    d
2025-10-14T10:06:32.250,    44.266191482543945,    16.054226989508606,    291.33428955078125,    26.135722160339355,    9.954715728759766,    1.9110000729560852,    2.9395002126693726,    1.3048999905586243,    9.5,    35.270904054993856,    25.94765476967052,    d
2025-10-14T10:06:33.000,    44.26789855957031,    16.052459411672316,    290.6856994628906,    24.712461471557617,    9.945865631103516,    1.8335000276565552,    2.892500162124634,    1.3596999645233154,    9.75,    35.27389072559065,    25.950367312081426,    d
2025-10-14T10:06:33.500,    44.26669692993164,    16.0526797483908,    290.6884765625,    23.349180221557617,    9.948192596435547,    1.8315000534057617,    2.9110002517700195,    1.3047999143600464,    10.0,    35.27252190145079,    25.949273323653642,    d
2025-10-14T10:06:15.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.25,    nan,    nan,    d
2025-10-14T10:06:34.000,    44.26512908935547,    16.0517172239488,    292.060546875,    21.349409103393555,    9.94800090789795,    1.8060001134872437,    2.9165000915527344,    1.3608499765396118,    10.5,    35.27183090015136,    25.948976610632826,    d
2025-10-14T10:06:34.500,    44.265769958496094,    16.050675964332186,    292.0574645996094,    19.929677963256836,    9.948732376098633,    1.8870000839233398,    2.9565000534057617,    1.333400011062622,    10.75,    35.273176105641475,    25.95026411073877,    d
2025-10-14T10:06:35.250,    44.265785217285156,    16.05026138300309,    291.1407775878906,    19.025054931640625,    9.94785451889038,    1.8157500624656677,    2.8780001401901245,    1.3563249707221985,    11.0,    35.27345203165788,    25.950581213575788,    d
2025-10-14T10:06:36.000,    44.26613235473633,    16.04984344483819,    291.6130065917969,    17.550281524658203,    9.94902515411377,    1.817500114440918,    2.882000207901001,    1.407249927520752,    11.25,    35.274006216094314,    25.951114952329817,    d
2025-10-14T10:06:15.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.5,    nan,    nan,    d
2025-10-14T10:06:36.500,    44.26768112182617,    16.050135498400778,    291.61102294921875,    15.94848918914795,    9.947993278503418,    1.97350013256073,    2.940000057220459,    1.2666999101638794,    11.75,    35.27495730436584,    25.951794778279236,    d
2025-10-14T10:06:15.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    12.0,    nan,    nan,    d
2025-10-14T10:06:37.250,    44.27083396911621,    16.05295562755782,    290.778076171875,    14.67200231552124,    9.949597835540771,    1.904500126838684,    2.904500126838684,    1.3695249557495117,    12.25,    35.275068673940964,    25.95125015737426,    d
2025-10-14T10:06:38.000,    44.27011489868164,    16.05373352044262,    290.7096862792969,    13.869696617126465,    9.949065208435059,    1.935500144958496,    2.876500129699707,    1.383099913597107,    12.5,    35.2736108817675,    25.949961824001093,    d
2025-10-14T10:06:38.500,    44.272789001464844,    16.0534353639232,    290.70477294921875,    13.137251853942871,    9.949638366699219,    1.9655001163482666,    2.881500244140625,    1.3453999757766724,    12.75,    35.27615714970308,    25.95199779560494,    d
2025-10-14T10:06:15.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    13.0,    nan,    nan,    d
2025-10-14T10:06:39.000,    44.270790100097656,    16.0542666624533,    291.4920959472656,    12.262263298034668,    9.950630187988281,    1.9315000772476196,    2.874000072479248,    1.4868499040603638,    13.25,    35.273494723601715,    25.94977229120991,    d
2025-10-14T10:06:39.500,    44.27046585083008,    16.053323364118114,    291.4909362792969,    11.471952438354492,    9.949955940246582,    1.8555001020431519,    2.879000186920166,    1.2480000257492065,    13.5,    35.27390565183252,    25.95031763154725,    d
2025-10-14T10:06:40.000,    44.269840240478516,    16.052498474135064,    291.3384704589844,    10.805835723876953,    9.950671195983887,    1.8385001420974731,    2.864500045776367,    1.3815499544143677,    13.75,    35.273950148418365,    25.950553291009555,    d
2025-10-14T10:06:15.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    14.0,    nan,    nan,    d
2025-10-14T10:06:40.500,    44.2757568359375,    16.052839966258034,    291.3294982910156,    10.176413536071777,    9.949864387512207,    1.7785000801086426,    2.9215002059936523,    1.3498499393463135,    14.25,    35.27880370427285,    25.954218019398468,    d
2025-10-14T10:06:41.000,    44.2738151550293,    16.05531585670542,    289.705810546875,    9.659886360168457,    9.95048713684082,    1.8845001459121704,    2.869000196456909,    1.424149990081787,    14.5,    35.27476378212576,    25.950552335578095,    d
