// Creator: RBR Ltd.
// Create time: 2026-01-12T08:45:45
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/Observation/SOMLIT/Somlit_rbr_toolbox/proc_data/rbr_maestro_profile_0_2025-10-14T10-06-15_to_2025-10-14T10-07-31.rsk opened using pyRSKtools v1.1.2.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	dissolved_o2_compensated (µmol/L) added to data table by RSK.addchannel().
//	temperature1_compensated (°C) added to data table by RSK.addchannel().
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [15.625  0.75 ] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    par(µmol/m²/s),    ph(pH_units),    chlorophyll-a(µg/L),    fdom(ppb),    turbidity(FTU),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    1.0,    nan,    nan,    d
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    1.5,    nan,    nan,    d
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    3.0,    nan,    nan,    d
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    4.0,    nan,    nan,    d
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    5.25,    nan,    nan,    d
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    6.5,    nan,    nan,    d
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    7.75,    nan,    nan,    d
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    8.25,    nan,    nan,    d
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.5,    nan,    nan,    d
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.0,    nan,    nan,    d
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.0,    nan,    nan,    d
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    12.25,    nan,    nan,    d
