// SOMLIT somlit.fr;;;;;;;
// RBR processing IUEM/MEDIMEER;2026-07-20;08:51:45;;;;;
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;PAR;SALINITE;PROFONDEUR
//;(yyyy-mm-dd);(hh:mm:ss);°C;µg/l;µMol/m²/s;PSU;m
;;;;;;;
17;2025-10-16;08:36:11;15.923;1.0;154.649;35.2517;1.5
17;2025-10-16;08:36:12;15.9198;1.0;239.753;35.2553;1.75
17;2025-10-16;08:36:13;15.9164;1.0;274.342;35.2585;2.0
17;2025-10-16;08:36:14;15.9158;1.0;217.999;35.2614;2.25
17;2025-10-16;08:36:15;15.9149;1.0;195.465;35.262;2.5
17;2025-10-16;08:36:17;15.913;1.0;180.195;35.2641;2.75
17;2025-10-16;08:36:18;15.9125;1.0;161.503;35.2667;3.0
17;2025-10-16;08:36:19;15.9137;1.0;147.111;35.2684;3.25
17;2025-10-16;08:36:21;15.9146;1.0;148.59;35.2696;3.5
17;2025-10-16;08:36:22;15.9146;1.0;135.259;35.2711;3.75
17;2025-10-16;08:36:24;15.9148;1.0;130.26;35.2726;4.0
17;2025-10-16;08:36:25;15.9151;1.0;114.196;35.2749;4.25
17;2025-10-16;08:36:26;15.9152;1.0;108.585;35.2758;4.5
17;2025-10-16;08:36:28;15.9156;1.0;92.757;35.2771;4.75
17;2025-10-16;08:36:29;15.9156;1.0;64.902;35.279;5.0
17;2025-10-16;08:36:31;15.9155;1.0;53.379;35.2801;5.25
17;2025-10-16;08:36:33;15.9147;1.0;80.005;35.2813;5.5
17;2025-10-16;08:36:35;15.9153;1.0;75.118;35.2824;5.75
