// SOMLIT somlit.fr;;;;;;;
// RBR processing IUEM;2026-01-12;09:45:51;;;;;
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;PAR;SALINITE;PROFONDEUR
//;(yyyy-mm-dd);(hh:mm:ss);°C;µg/l;µMol/m²/s;PSU;m
;;;;;;;
5;2025-10-16;08:41:22;15.8989;1.0;418.509;35.2394;0.75
5;2025-10-16;08:41:19;15.9013;1.0;221.811;35.2465;1.0
5;2025-10-16;08:41:16;15.9032;1.0;160.878;35.2559;1.25
5;2025-10-16;08:41:14;15.9036;1.0;289.876;35.2626;1.5
5;2025-10-16;08:41:12;15.9049;1.0;258.682;35.2682;1.75
5;2025-10-16;08:41:10;15.9051;1.0;240.033;35.2741;2.0
5;2025-10-16;08:41:07;15.9051;1.0;239.431;35.2342;2.25
5;2025-10-16;08:38:13;15.9151;1.0;169.038;35.2373;2.5
5;2025-10-16;08:39:20;15.9119;1.0;174.751;35.2438;2.75
5;2025-10-16;08:37:27;15.9177;1.0;156.161;35.244;3.0
5;2025-10-16;08:37:24;15.9185;1.0;144.44;35.2515;3.25
5;2025-10-16;08:37:22;15.9176;1.0;143.84;35.2595;3.5
5;2025-10-16;08:37:19;15.918;1.0;131.829;35.2648;3.75
5;2025-10-16;08:37:16;15.9182;1.0;118.981;35.2704;4.0
5;2025-10-16;08:37:13;15.9184;1.0;79.978;35.2751;4.25
5;2025-10-16;08:37:11;15.9186;1.0;63.882;35.2794;4.5
5;2025-10-16;08:37:08;15.9186;1.0;58.67;35.2803;4.75
5;2025-10-16;08:37:05;15.9185;1.0;54.581;35.2811;5.0
5;2025-10-16;08:37:02;15.9193;1.0;53.691;35.2808;5.25
5;2025-10-16;08:37:00;15.9184;1.0;72.649;35.2822;5.5
5;2025-10-16;08:36:50;15.9171;1.0;67.648;35.2834;5.75
