DD MMM YYYY;HH:MM:SS;temp;FLUO;Par;conductivité;Sal00;profondeur;Oxygène;turbidité;densité
;;Tv290C;FlECO-AFL;Par;C0mS/cm;psu;DepSM;Sbeox0ML/LTu;rbWETntu0;Sigma-é00
10/14/2025;10:05:16;16,0585;1,2306;204,00;44,263424;35,2672;3,25;5,2207;2,0789;25,9399
10/14/2025;10:05:35;16,0592;1,0095;137,01;44,264298;35,2672;3,5;5,23;1,9993;25,9398
10/14/2025;10:05:34;16,0593;1,0226;134,64;44,264501;35,2672;3,75;5,229;2,0023;25,9397
10/14/2025;10:05:35;16,0595;1,0904;126,52;44,264508;35,267;4;5,2301;2,0301;25,9395
10/14/2025;10:05:35;16,0595;1,1622;116,87;44,264451;35,2668;4,25;5,2319;2,0542;25,9394
10/14/2025;10:05:35;16,0595;1,1496;109,21;44,264457;35,2667;4,5;5,2335;2,0503;25,9393
10/14/2025;10:05:36;16,0595;1,1854;104,42;44,264532;35,2666;4,75;5,2326;2,0641;25,9393
10/14/2025;10:05:36;16,0594;1,1863;98,21;44,264705;35,2668;5;5,2288;2,0658;25,9394
10/14/2025;10:05:37;16,0593;1,1893;93,77;44,264955;35,267;5,25;5,2234;2,0648;25,9396
10/14/2025;10:05:37;16,0593;1,096;89,27;44,265239;35,2671;5,5;5,2185;2,0359;25,9397
10/14/2025;10:05:38;16,0593;1,0847;85,37;44,265476;35,2673;5,75;5,2152;2,0339;25,9399
10/14/2025;10:05:38;16,0592;1,0759;81,97;44,265656;35,2674;6;5,2135;2,0483;25,94
10/14/2025;10:05:38;16,0592;1,0616;77,26;44,265797;35,2674;6,25;5,2119;2,0649;25,94
10/14/2025;10:05:39;16,0593;1,0648;72,25;44,265868;35,2673;6,5;5,2108;2,0646;25,9399
10/14/2025;10:05:39;16,0593;1,1615;68,56;44,265912;35,2673;6,75;5,2105;2,0834;25,9399
10/14/2025;10:05:39;16,0594;1,1552;65,64;44,266079;35,2672;7;5,2121;2,0823;25,9398
10/14/2025;10:05:40;16,0594;1,096;63,92;44,26632;35,2673;7,25;5,2156;2,0583;25,9399
10/14/2025;10:05:40;16,0594;1,0345;61,31;44,266498;35,2674;7,5;5,2197;2,0315;25,94
10/14/2025;10:05:41;16,0593;1,0317;57,97;44,266528;35,2674;7,75;5,2247;2,028;25,94
10/14/2025;10:05:41;16,0592;1,0301;54,36;44,266431;35,2673;8;5,2297;2,0292;25,94
10/14/2025;10:05:41;16,0589;1,2123;51,40;44,266093;35,2671;8,25;5,2323;2,0833;25,9399
10/14/2025;10:05:42;16,0584;1,2075;49,83;44,2655;35,267;8,5;5,232;2,0823;25,9399
10/14/2025;10:05:42;16,0578;0,9883;48,26;44,264834;35,2668;8,75;5,2296;2,0492;25,9399
10/14/2025;10:05:43;16,0572;0,9727;46,80;44,264343;35,2668;9;5,2252;2,0464;25,9401
10/14/2025;10:05:43;16,0566;0,9753;44,93;44,264061;35,267;9,25;5,2202;2,0463;25,9404
10/14/2025;10:05:43;16,0561;1,0391;41,85;44,263835;35,2671;9,5;5,2142;2,0964;25,9406
10/14/2025;10:05:44;16,0557;1,0352;39,30;44,263155;35,2668;9,75;5,2062;2,094;25,9405
10/14/2025;10:05:44;16,0549;1,1263;38,07;44,261556;35,266;10;5,1996;2,1001;25,94
10/14/2025;10:05:45;16,0536;1,1252;37,16;44,260212;35,2659;10,25;5,1988;2,1003;25,9402
10/14/2025;10:05:45;16,0524;1,1269;35,46;44,259375;35,2661;10,5;5,2023;2,0989;25,9407
10/14/2025;10:05:46;16,0515;0,9496;33,08;44,259056;35,2665;10,75;5,2089;2,0227;25,9412
10/14/2025;10:05:46;16,0509;0,9674;30,99;44,259094;35,267;11;5,2168;2,0292;25,9417
10/14/2025;10:05:47;16,0508;1,0564;29,47;44,259517;35,2673;11,25;5,2211;2,0606;25,9421
10/14/2025;10:05:47;16,051;1,0439;28,26;44,259851;35,2674;11,5;5,2167;2,0576;25,9421
10/14/2025;10:05:48;16,0511;1,0145;27,25;44,260288;35,2675;11,75;5,2099;2,038;25,9422
10/14/2025;10:05:48;16,0513;1,0107;26,02;44,261019;35,2679;12;5,2041;2,0351;25,9425
10/14/2025;10:05:48;16,0518;1,0216;24,61;44,261869;35,2681;12,25;5,2007;2,0637;25,9425
10/14/2025;10:05:49;16,0525;1,0415;23,45;44,262953;35,2683;12,5;5,2005;2,0928;25,9425
10/14/2025;10:05:49;16,0533;1,0426;22,11;44,263672;35,2682;12,75;5,2027;2,0964;25,9422
10/14/2025;10:05:50;16,0538;1,0803;20,89;44,263851;35,2678;13;5,2054;2,0603;25,9418
10/14/2025;10:05:50;16,0539;1,0732;20,02;44,263835;35,2676;13,25;5,2076;2,063;25,9416
10/14/2025;10:05:51;16,0538;1,0672;19,38;44,264492;35,2682;13,5;5,2094;2,069;25,9421
10/14/2025;10:05:51;16,0541;1,054;18,81;44,265497;35,2688;13,75;5,2101;2,0775;25,9425
10/14/2025;10:05:51;16,0547;1,0564;18,29;44,266034;35,2686;14;5,208;2,0783;25,9422
10/14/2025;10:05:52;16,055;0,9858;17,71;44,265232;35,2675;14,25;5,2039;2,0418;25,9413
10/14/2025;10:05:52;16,0542;0,9738;16,78;44,263987;35,267;14,5;5,2004;2,0365;25,9411
10/14/2025;10:05:53;16,0527;0,9262;15,85;44,262888;35,2672;14,75;5,1996;2,1922;25,9416
10/14/2025;10:05:58;16,0527;1,0197;15,12;44,263627;35,2678;15;5,2007;2,1113;25,9421
