DD MMM YYYY;HH:MM:SS;temp;FLUO;Par;conductivité;Sal00;profondeur;Oxygène;turbidité;densité
;;Tv290C;FlECO-AFL;Par;C0mS/cm;psu;DepSM;Sbeox0ML/LTu;rbWETntu0;Sigma-é00
10/14/2025;10:05:58;16,0527;1,0197;15,12;44,263627;35,2678;15;5,2007;2,1113;25,9421
10/14/2025;10:06:05;16,0527;1,1062;23,71;44,262943;35,2673;14,75;5,1845;2,3262;25,9417
10/14/2025;10:06:05;16,052;1,1526;25,11;44,262076;35,2672;14,5;5,1755;2,313;25,9417
10/14/2025;10:06:06;16,0514;1,0092;27,23;44,261297;35,2672;14,25;5,1792;2,1169;25,9419
10/14/2025;10:06:07;16,0508;1,0276;28,22;44,260935;35,2675;14;5,1925;2,0881;25,9423
10/14/2025;10:06:07;16,0507;1,063;28,29;44,260817;35,2675;13,75;5,2007;2,0686;25,9423
10/14/2025;10:06:08;16,0507;1,0708;29,64;44,26071;35,2676;13,5;5,2009;2,1022;25,9423
10/14/2025;10:06:08;16,0508;1,0759;32,57;44,260686;35,2675;13,25;5,1968;2,1288;25,9423
10/14/2025;10:06:09;16,051;1,1081;34,93;44,260806;35,2675;13;5,1918;2,0612;25,9423
10/14/2025;10:06:10;16,0515;1,1091;35,36;44,261443;35,2678;12,75;5,1906;2,0646;25,9423
10/14/2025;10:06:10;16,0523;1,0224;36,01;44,262517;35,2682;12,5;5,1893;2,067;25,9424
10/14/2025;10:06:11;16,0537;1,0233;38,22;44,263514;35,268;12,25;5,189;2,068;25,9419
10/14/2025;10:06:11;16,0552;1,1678;42,56;44,264083;35,2671;12;5,1883;2,1228;25,9409
10/14/2025;10:06:12;16,0562;1,0593;46,59;44,264097;35,2664;11,75;5,188;2,0759;25,9401
10/14/2025;10:06:13;16,0565;1,058;48,37;44,263921;35,2661;11,5;5,1898;2,0761;25,9398
10/14/2025;10:06:13;16,0565;1,0571;50,01;44,263627;35,2658;11,25;5,194;2,029;25,9396
10/14/2025;10:06:13;16,0567;1,0528;52,99;44,263278;35,2655;11;5,1983;2,0222;25,9393
10/14/2025;10:06:14;16,0566;1,0535;57,47;44,262763;35,2652;10,75;5,2006;2,0214;25,939
10/14/2025;10:06:14;16,0566;1,2189;62,24;44,261837;35,2645;10,5;5,2011;2,1033;25,9386
10/14/2025;10:06:15;16,0566;1,2085;65,43;44,262099;35,2648;10,25;5,2014;2,0979;25,9388
10/14/2025;10:06:15;16,0565;1,1081;67,31;44,26248;35,2654;10;5,2016;2,0958;25,9392
10/14/2025;10:06:16;16,0565;1,1004;69,80;44,262719;35,2657;9,75;5,2013;2,0964;25,9395
10/14/2025;10:06:16;16,0566;1,0787;72,62;44,262972;35,266;9,5;5,2002;2,0715;25,9396
10/14/2025;10:06:16;16,0567;1,0541;78,43;44,263252;35,2662;9,25;5,1988;2,0432;25,9398
10/14/2025;10:06:17;16,057;1,0497;86,26;44,263661;35,2664;9;5,1984;2,0402;25,9399
10/14/2025;10:06:17;16,0573;1,251;91,05;44,264209;35,2667;8,75;5,2005;2,0798;25,94
10/14/2025;10:06:18;16,0578;1,2316;91,94;44,264388;35,2665;8,5;5,2028;2,0747;25,9397
10/14/2025;10:06:18;16,0581;1,2318;93,39;44,264079;35,2661;8,25;5,2034;2,0729;25,9393
10/14/2025;10:06:19;16,0581;1,1398;98,07;44,263617;35,2658;8;5,2023;2,0723;25,9391
10/14/2025;10:06:19;16,058;1,1375;102,49;44,263257;35,2656;7,75;5,2007;2,0728;25,939
10/14/2025;10:06:19;16,0577;1,1832;112,11;44,262876;35,2657;7,5;5,2014;2,0655;25,9391
